Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Single Peak Distribution,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Single Peak Distribution,Single Peak Distribution
Mountain Regions,Urban Redevelopment Areas,Luxury Residences,Suburbs,Rural Areas,Metropolitan Areas
121566.83942624422,87534.02038810795,53748.93751519898,83639.38336122877,92986.34981178188,79031.13463677431
176238.0369397155,154247.05850276063,145217.5028322807,73608.56268012343,41456.295156078144,33899.87809529252
192590.48614573196,120858.8866666209,116477.58440075823,65109.196935205546,47895.30165342283,108693.91012920471
0.0,173492.72370657022,68331.88461914376,59660.43507710808,91294.42372783739,137717.6447052546
228646.9927399096,148410.2215703838,141891.28540581133,123968.32879167736,90630.48079818487,53563.53877989703
87724.73719680126,117184.06636953898,203973.04011892586,78084.73047792588,64226.279749490954,86400.83476817115
106979.06110543595,106467.7182481373,83531.36529538504,55411.92957876884,50891.2525663237,62135.83758075903
168313.95705578066,140167.53784776383,6740.050801591367,80295.39528288884,121680.43045263847,54822.43393411944
107402.42518871606,69519.17299599168,0.0,46734.5661535831,80302.3995241594,145581.69430075737
208085.30137042096,109362.01522248771,57940.56210949429,110431.03442973486,0.0,27412.4099565334
119215.4322773325,101245.216546356,64102.16814495008,148666.19644109524,38193.48627500541,11820.123273210516
191262.20153833498,90615.26753428059,104184.89401229858,29683.64753606279,97866.80429762926,78850.64459518518
113296.34982533987,133561.28498843138,54809.506898732805,141736.1509974574,119064.03893322826,127728.98984675227
89082.22591755094,64764.36090417564,58356.07452979712,112837.00362442157,101183.5058629126,58661.97165228509
166863.95797913097,125752.21720575416,168399.9896391345,89976.07437835787,132866.96003605484,122233.955267638
169400.54803603966,198531.37541935244,167895.39329815013,198604.31954032613,128575.5771801573,216129.67303013013
257021.85861287007,207746.6911763134,346035.69089990057,130302.55426511375,117004.96535916739,163503.5960595736
307679.0249841587,291895.1987585768,369196.10042422276,269127.53366076323,225062.58059968374,278062.3580838644
344872.719874515,317797.029553772,379930.0149935116,364855.1791745439,351194.28593519714,365538.9846114808
425238.728972203,471590.44564314804,579492.561168712,383979.32741455483,383611.05063701747,468277.7355649043
658855.4673184701,551567.2601198216,580570.8100236513,574501.4850381783,598551.7119757555,487438.4263182463
726651.2974816542,720092.2504823381,661020.2794291497,739849.4537832692,656589.0884041152,692857.1917108377
772932.7722039989,839827.5262050886,696295.4955851572,796345.7016276892,733679.0770316259,862937.1924738126
923998.2184956576,863493.6126119351,738947.0660216896,967433.0827392887,889440.8988162165,959173.0388365075
1000000.0,1000000.0,653801.9470341115,985451.1721238382,985018.889493149,1000000.0
969226.1122630986,886742.3209516614,617709.5892433185,1000000.0,980264.6662912584,967209.2603027754
867171.7757202114,879175.466594252,621591.4458608875,972983.5119961405,1000000.0,897022.0644820373
853749.0382241998,801695.8060822422,595407.3310517247,765868.0961015249,844112.5048033213,835764.4979417715
763334.4975773806,627053.7303974468,687374.141059157,657243.183402198,772888.5887449401,646750.2505644087
531796.8550993546,483294.2565903255,682182.3560877071,464278.2761827222,602235.0217212358,494316.8339911857
493077.75836365076,541972.3538387943,759502.1154288821,360383.12702510064,402672.1175923998,552287.3899460277
310976.8784590227,310772.9049154907,704329.5451440137,349600.3182016556,333097.36961915327,289424.67845804855
295834.372371269,279813.7287296774,822245.896863715,339929.5811473463,246686.57533894083,266835.106410303
210535.59569136414,204150.50879022796,735375.2595664229,155156.66079422575,212571.67800775997,201998.77110895043
140069.7274902212,200574.1487967418,768281.5789191787,174602.09751329274,43184.93803282039,163785.41795752844
184617.25687232675,129614.22862427807,954200.3853434687,91965.96775299512,71491.15133730655,50155.36488485179
117832.28694135627,66781.80179592251,995064.3765625805,91113.87978834049,8799.2039378725,137917.69950888128
97506.24165693537,152450.91862469463,931389.4449555003,35376.11695974562,103428.50433339161,102020.13651703278
96316.95136186841,71351.05587698673,985276.7540640767,83327.9673916823,25634.145876271512,169356.7328268881
131875.37504515154,0.0,864886.4548183881,77152.0813345801,14811.623019539773,78431.42597804325
137386.12041513,25470.37775436592,901419.427157379,85263.10234950858,44085.67899602622,65286.8892522237
140361.1506820925,94431.21872278226,868807.3586483329,58085.115361517135,14096.319170238681,0.0
120126.75971232186,27427.663564412884,963263.2723239675,103224.29841613532,16801.129770991945,133693.9694086327
197418.9203113287,62043.54551779391,995724.7111045425,81218.44604768229,72818.03304865575,109358.25591107096
116941.24209273218,127203.6969903311,1000000.0,85339.5138925685,87637.5984725003,80040.46897965371
87144.2617904653,60104.49205536923,956867.628979375,60905.61540315729,63098.57088684244,21402.79403449551
64270.29327002805,108671.89405300931,903986.023061153,74606.26418901289,116192.0162596548,106058.03746898173
140972.1460349229,162930.54207866918,860408.8254029418,28501.607855950275,15306.995022246238,61237.88247931068
190966.43058804134,105769.32841217515,968121.1151969184,9237.268559339325,101215.43453316715,87035.99332987356
208477.60023482362,116938.41845734985,984909.3093416666,0.0,27847.941641290246,154890.4394322535
