Science and Engineering,Research and Development Ecosystem,Projects,random,Funding Sources,Institution Types
Source,Target,Value
Private Investment,Research Universities,14
Private Investment,Government Agencies,86
Private Investment,Corporate Labs,53
Private Investment,Startups,82
Private Investment,Non-profit Organizations,19
Corporate Sponsorship,Research Universities,2
Corporate Sponsorship,Government Agencies,25
Corporate Sponsorship,Corporate Labs,18
Corporate Sponsorship,Startups,13
Corporate Sponsorship,Non-profit Organizations,13
Federal Grants,Research Universities,10
Federal Grants,Government Agencies,46
Federal Grants,Corporate Labs,10
Federal Grants,Startups,10
Federal Grants,Non-profit Organizations,85
Crowdfunding,Research Universities,71
Crowdfunding,Government Agencies,48
Crowdfunding,Corporate Labs,56
Crowdfunding,Startups,53
Crowdfunding,Non-profit Organizations,40
