Science and Engineering,Research and Development Ecosystem,Projects,random,Research Fields,Research Outcomes,Institution Types
Source,Target,Value
Quantum Computing,Commercial Products,54
Quantum Computing,Published Papers,210
Artificial Intelligence,Commercial Products,100
Artificial Intelligence,Published Papers,105
Renewable Energy,Commercial Products,42
Renewable Energy,Published Papers,108
Space Exploration,Commercial Products,26
Space Exploration,Published Papers,52
Robotics,Commercial Products,32
Robotics,Published Papers,152
Commercial Products,Research Universities,11
Commercial Products,Startups,41
Commercial Products,Corporate Labs,86
Commercial Products,Non-profit Organizations,116
Published Papers,Research Universities,130
Published Papers,Startups,180
Published Papers,Corporate Labs,246
Published Papers,Non-profit Organizations,71
