Science and Engineering,Research and Development Ecosystem,Projects,random,Impact Areas,Research Fields,Research Outcomes,Funding Sources
Source,Target,Value
Environment,Biotechnology,8
Environment,Robotics,3
Environment,Nanotechnology,4
Environment,Quantum Computing,12
Environment,Space Exploration,20
Defense,Biotechnology,9
Defense,Robotics,75
Defense,Nanotechnology,50
Defense,Quantum Computing,32
Defense,Space Exploration,89
Education,Biotechnology,30
Education,Robotics,14
Education,Nanotechnology,44
Education,Quantum Computing,15
Education,Space Exploration,27
Biotechnology,Published Papers,22
Biotechnology,Patents,12
Biotechnology,Prototypes,13
Robotics,Published Papers,40
Robotics,Patents,32
Robotics,Prototypes,20
Nanotechnology,Published Papers,13
Nanotechnology,Patents,25
Nanotechnology,Prototypes,60
Quantum Computing,Published Papers,25
Quantum Computing,Patents,5
Quantum Computing,Prototypes,29
Space Exploration,Published Papers,36
Space Exploration,Patents,40
Space Exploration,Prototypes,60
Published Papers,Private Investment,62
Published Papers,University Budget,74
Patents,Private Investment,53
Patents,University Budget,61
Prototypes,Private Investment,142
Prototypes,University Budget,40
