Social Media and Digital Media and Streaming,Digital Media Consumption Ecosystem,Views,random,Monetization Models,Content Formats,Engagement Methods,Platform Types
Source,Target,Value
Virtual Gifts,Livestreams,24645
Virtual Gifts,Music Tracks,137434
Virtual Gifts,Reels,155330
Virtual Gifts,Podcasts,32197
Virtual Gifts,Short Videos,147142
Sponsorships,Livestreams,341374
Sponsorships,Music Tracks,102241
Sponsorships,Reels,45137
Sponsorships,Podcasts,234584
Sponsorships,Short Videos,151535
Merch Sales,Livestreams,274370
Merch Sales,Music Tracks,271428
Merch Sales,Reels,131401
Merch Sales,Podcasts,35659
Merch Sales,Short Videos,84300
Pay-Per-View,Livestreams,48124
Pay-Per-View,Music Tracks,118121
Pay-Per-View,Reels,16966
Pay-Per-View,Podcasts,114627
Pay-Per-View,Short Videos,102561
Livestreams,Shares,412158
Livestreams,Likes,276355
Music Tracks,Shares,130717
Music Tracks,Likes,498507
Reels,Shares,226381
Reels,Likes,122453
Podcasts,Shares,224686
Podcasts,Likes,192381
Short Videos,Shares,331337
Short Videos,Likes,154201
Shares,Live Streaming,380116
Shares,News Aggregators,293010
Shares,Social Networks,328834
Shares,Music Streaming,218764
Shares,Podcast Platforms,104555
Likes,Live Streaming,115153
Likes,News Aggregators,151846
Likes,Social Networks,333203
Likes,Music Streaming,253186
Likes,Podcast Platforms,390509
