Sports and Entertainment,Sports Event Framework,Events,random,Event Types,Sports Types,Revenue Streams,Engagement Channels
Source,Target,Value
Finals,Golf,1419
Finals,Hockey,2808
Finals,Tennis,1310
Finals,Cricket,5394
Finals,Baseball,1463
Finals,Basketball,6747
Tournament,Golf,177
Tournament,Hockey,1252
Tournament,Tennis,1263
Tournament,Cricket,177
Tournament,Baseball,177
Tournament,Basketball,537
Golf,Sponsorships,1441
Golf,Concessions,155
Hockey,Sponsorships,1042
Hockey,Concessions,3018
Tennis,Sponsorships,1532
Tennis,Concessions,1041
Cricket,Sponsorships,4831
Cricket,Concessions,740
Baseball,Sponsorships,932
Baseball,Concessions,708
Basketball,Sponsorships,2951
Basketball,Concessions,4333
Sponsorships,Social Media,4923
Sponsorships,Fan Meetups,4999
Sponsorships,Live Streaming,2807
Concessions,Social Media,4265
Concessions,Fan Meetups,2661
Concessions,Live Streaming,3069
