Tourism and Hospitality,Global Tourism Value Chain,Million Tourists,random,Travel Purposes,Source Continents,Spending Types,Attractions
Source,Target,Value
Medical,North America,4515
Medical,Europe,687
Education,North America,9603
Education,Europe,1970
Adventure,North America,1484
Adventure,Europe,9286
Religious Pilgrimage,North America,6061
Religious Pilgrimage,Europe,5940
Leisure,North America,2436
Leisure,Europe,3656
North America,Accommodation,3147
North America,Transportation,20952
Europe,Accommodation,16410
Europe,Transportation,5129
Accommodation,Shopping District,3634
Accommodation,Historical Site,3202
Accommodation,Theme Park,1120
Accommodation,Museum,1821
Accommodation,Cultural Festival,2340
Accommodation,Beach,6475
Accommodation,Hiking Trail,965
Transportation,Shopping District,8399
Transportation,Historical Site,1582
Transportation,Theme Park,1491
Transportation,Museum,1122
Transportation,Cultural Festival,2448
Transportation,Beach,8697
Transportation,Hiking Trail,2342
