Tourism and Hospitality,Global Tourism Value Chain,Million Tourists,random,Source Continents,Attractions
Source,Target,Value
Africa,Shopping District,522
Africa,Theme Park,438
Africa,Cultural Festival,3130
North America,Shopping District,939
North America,Theme Park,1253
North America,Cultural Festival,884
Asia,Shopping District,1748
Asia,Theme Park,879
Asia,Cultural Festival,2283
Europe,Shopping District,113
Europe,Theme Park,1091
Europe,Cultural Festival,595
South America,Shopping District,484
South America,Theme Park,2257
South America,Cultural Festival,615
