Tourism and Hospitality,Global Tourism Value Chain,Million Tourists,random,Spending Types,Source Continents,Hotels,Travel Purposes,Attractions
Source,Target,Value
Transportation,Asia,1817
Transportation,South America,1358
Transportation,Africa,273
Transportation,North America,1191
Transportation,Europe,2710
Transportation,Oceania,803
Entertainment,Asia,1503
Entertainment,South America,412
Entertainment,Africa,1224
Entertainment,North America,153
Entertainment,Europe,1462
Entertainment,Oceania,153
Shopping,Asia,3133
Shopping,South America,4170
Shopping,Africa,4457
Shopping,North America,4696
Shopping,Europe,1364
Shopping,Oceania,2697
Asia,Hostel,772
Asia,Resort,1965
Asia,Luxury Hotel,2818
Asia,Business Hotel,583
Asia,Boutique Hotel,315
South America,Hostel,1852
South America,Resort,1372
South America,Luxury Hotel,1786
South America,Business Hotel,187
South America,Boutique Hotel,743
Africa,Hostel,426
Africa,Resort,1763
Africa,Luxury Hotel,1672
Africa,Business Hotel,875
Africa,Boutique Hotel,1218
North America,Hostel,1074
North America,Resort,2531
North America,Luxury Hotel,277
North America,Business Hotel,1845
North America,Boutique Hotel,313
Europe,Hostel,1226
Europe,Resort,2497
Europe,Luxury Hotel,279
Europe,Business Hotel,1056
Europe,Boutique Hotel,478
Oceania,Hostel,1088
Oceania,Resort,147
Oceania,Luxury Hotel,147
Oceania,Business Hotel,1365
Oceania,Boutique Hotel,906
Hostel,Adventure,1567
Hostel,Religious Pilgrimage,2529
Hostel,Education,1796
Hostel,Leisure,546
Resort,Adventure,2479
Resort,Religious Pilgrimage,2417
Resort,Education,2713
Resort,Leisure,2666
Luxury Hotel,Adventure,530
Luxury Hotel,Religious Pilgrimage,665
Luxury Hotel,Education,2984
Luxury Hotel,Leisure,2800
Business Hotel,Adventure,1622
Business Hotel,Religious Pilgrimage,2537
Business Hotel,Education,455
Business Hotel,Leisure,1297
Boutique Hotel,Adventure,541
Boutique Hotel,Religious Pilgrimage,1267
Boutique Hotel,Education,1187
Boutique Hotel,Leisure,978
Adventure,Shopping District,498
Adventure,Cultural Festival,4973
Adventure,Historical Site,726
Adventure,Beach,542
Religious Pilgrimage,Shopping District,741
Religious Pilgrimage,Cultural Festival,2639
Religious Pilgrimage,Historical Site,2347
Religious Pilgrimage,Beach,3688
Education,Shopping District,1850
Education,Cultural Festival,3754
Education,Historical Site,2872
Education,Beach,659
Leisure,Shopping District,1045
Leisure,Cultural Festival,3506
Leisure,Historical Site,2645
Leisure,Beach,1091
