Agriculture and Food Production,Agricultural Value Chain,Crops,random,Distribution,Processing,Farming,Import & Export
Source,Target,Value
Wholesale,Canning,1966
Wholesale,Grinding,3788
Wholesale,Packaging,4240
Wholesale,Cleaning,4096
Storage,Canning,5075
Storage,Grinding,2665
Storage,Packaging,4724
Storage,Cleaning,1702
Transportation,Canning,4646
Transportation,Grinding,1142
Transportation,Packaging,4107
Transportation,Cleaning,2616
Canning,Seeding,4085
Canning,Fertilization,7602
Grinding,Seeding,5873
Grinding,Fertilization,1722
Packaging,Seeding,6740
Packaging,Fertilization,6331
Cleaning,Seeding,6773
Cleaning,Fertilization,1641
Seeding,Export Certification,9179
Seeding,Import Inspection,12190
Seeding,International Shipping,2102
Fertilization,Export Certification,7386
Fertilization,Import Inspection,3935
Fertilization,International Shipping,5975
