Education and Academics,Education System Framework,Students,random,Institution Types,Post-Education Paths,Student Backgrounds
Source,Target,Value
Community College,Entrepreneurship,100
Community College,Employment,271
Community College,Gap Year,251
Private School,Entrepreneurship,1011
Private School,Employment,1723
Private School,Gap Year,1013
Online Institution,Entrepreneurship,2352
Online Institution,Employment,491
Online Institution,Gap Year,712
Public School,Entrepreneurship,489
Public School,Employment,937
Public School,Gap Year,158
University,Entrepreneurship,1519
University,Employment,1771
University,Gap Year,695
Entrepreneurship,International,2880
Entrepreneurship,First-Generation,2591
Employment,International,3220
Employment,First-Generation,1973
Gap Year,International,1415
Gap Year,First-Generation,1414
