Energy and Utilities,Carbon Emission Flow,Tons,random,Sector Distribution,Mitigation Measures,Emission Sources,Transportation Methods,Final Disposition
Source,Target,Value
Power Generation,Carbon Capture,26604
Power Generation,Energy Efficiency,50331
Power Generation,Renewable Energy,7326
Power Generation,None,15338
Waste Management,Carbon Capture,27155
Waste Management,Energy Efficiency,14240
Waste Management,Renewable Energy,13201
Waste Management,None,11755
Residential,Carbon Capture,27189
Residential,Energy Efficiency,24255
Residential,Renewable Energy,3137
Residential,None,27185
Agriculture,Carbon Capture,2592
Agriculture,Energy Efficiency,2173
Agriculture,Renewable Energy,652
Agriculture,None,4608
Transportation,Carbon Capture,2232
Transportation,Energy Efficiency,8712
Transportation,Renewable Energy,9121
Transportation,None,2838
Manufacturing,Carbon Capture,11188
Manufacturing,Energy Efficiency,1902
Manufacturing,Renewable Energy,10982
Manufacturing,None,11422
Carbon Capture,Natural Gas,51441
Carbon Capture,Livestock,45519
Energy Efficiency,Natural Gas,26306
Energy Efficiency,Livestock,75307
Renewable Energy,Natural Gas,28133
Renewable Energy,Livestock,16286
None,Natural Gas,18318
None,Livestock,54828
Natural Gas,Rail Transport,16330
Natural Gas,Maritime Shipping,8992
Natural Gas,Road Freight,53334
Natural Gas,Air Cargo,45542
Livestock,Rail Transport,81066
Livestock,Maritime Shipping,35009
Livestock,Road Freight,66907
Livestock,Air Cargo,8958
Rail Transport,Offset Projects,64620
Rail Transport,Carbon Trading,32776
Maritime Shipping,Offset Projects,8123
Maritime Shipping,Carbon Trading,35878
Road Freight,Offset Projects,85449
Road Freight,Carbon Trading,34792
Air Cargo,Offset Projects,18826
Air Cargo,Carbon Trading,35674
