Agriculture and Food Production,Agricultural Value Chain,Crops,random,Import & Export,Farming,Processing,Distribution
Source,Target,Value
Trade Agreements,Soil Preparation,5725
Trade Agreements,Irrigation,2973
Trade Agreements,Pest Control,18446
Export Certification,Soil Preparation,1178
Export Certification,Irrigation,7333
Export Certification,Pest Control,9330
Soil Preparation,Canning,5002
Soil Preparation,Grinding,1209
Soil Preparation,Freezing,692
Irrigation,Canning,2967
Irrigation,Grinding,6326
Irrigation,Freezing,1013
Pest Control,Canning,3902
Pest Control,Grinding,14918
Pest Control,Freezing,8956
Canning,Storage,6565
Canning,Retail Delivery,5306
Grinding,Storage,11728
Grinding,Retail Delivery,10725
Freezing,Storage,1236
Freezing,Retail Delivery,9425
