Human Resources and Employee Management,Employee Management System,Employees,random,Onboarding Steps,Interview Stages,Performance Ratings
Source,Target,Value
Training Program,HR Interview,522
Training Program,Technical Interview,969
Orientation,HR Interview,624
Orientation,Technical Interview,1867
Document Verification,HR Interview,445
Document Verification,Technical Interview,1082
Mentorship Assignment,HR Interview,2296
Mentorship Assignment,Technical Interview,1168
HR Interview,Below Average,2305
HR Interview,Good,1582
Technical Interview,Below Average,1246
Technical Interview,Good,3840
