Agriculture and Food Production,Agricultural Value Chain,Crops,random,Distribution,Consumption,Processing
Source,Target,Value
Transportation,Retail Purchase,2398
Transportation,Food Preparation,7821
Transportation,Food Waste,4113
Wholesale,Retail Purchase,4867
Wholesale,Food Preparation,2171
Wholesale,Food Waste,2049
Storage,Retail Purchase,21903
Storage,Food Preparation,4604
Storage,Food Waste,7796
Retail Delivery,Retail Purchase,2259
Retail Delivery,Food Preparation,4512
Retail Delivery,Food Waste,4446
Retail Purchase,Grinding,3161
Retail Purchase,Packaging,9465
Retail Purchase,Canning,7134
Retail Purchase,Sorting,11667
Food Preparation,Grinding,5055
Food Preparation,Packaging,922
Food Preparation,Canning,5366
Food Preparation,Sorting,7765
Food Waste,Grinding,6567
Food Waste,Packaging,5785
Food Waste,Canning,4602
Food Waste,Sorting,1450
