Agriculture and Food Production,Agricultural Value Chain,Crops,random,Distribution,Consumption,Import & Export,Farming
Source,Target,Value
Retail Delivery,Retail Purchase,33781
Retail Delivery,Consumption,9087
Retail Delivery,Food Preparation,6439
Retail Delivery,Food Waste,6414
Transportation,Retail Purchase,6426
Transportation,Consumption,8022
Transportation,Food Preparation,8259
Transportation,Food Waste,4572
Retail Purchase,Import Inspection,6695
Retail Purchase,Trade Agreements,12346
Retail Purchase,Customs Clearance,3858
Retail Purchase,Export Certification,12781
Retail Purchase,International Shipping,4527
Consumption,Import Inspection,4199
Consumption,Trade Agreements,3741
Consumption,Customs Clearance,1119
Consumption,Export Certification,3633
Consumption,International Shipping,4417
Food Preparation,Import Inspection,3750
Food Preparation,Trade Agreements,1568
Food Preparation,Customs Clearance,4153
Food Preparation,Export Certification,4531
Food Preparation,International Shipping,696
Food Waste,Import Inspection,2817
Food Waste,Trade Agreements,1899
Food Waste,Customs Clearance,2128
Food Waste,Export Certification,670
Food Waste,International Shipping,3472
Import Inspection,Irrigation,2278
Import Inspection,Pest Control,2387
Import Inspection,Soil Preparation,5243
Import Inspection,Seeding,4379
Import Inspection,Fertilization,3174
Trade Agreements,Irrigation,6529
Trade Agreements,Pest Control,764
Trade Agreements,Soil Preparation,4497
Trade Agreements,Seeding,4895
Trade Agreements,Fertilization,2869
Customs Clearance,Irrigation,3426
Customs Clearance,Pest Control,3609
Customs Clearance,Soil Preparation,496
Customs Clearance,Seeding,2428
Customs Clearance,Fertilization,1299
Export Certification,Irrigation,4023
Export Certification,Pest Control,4635
Export Certification,Soil Preparation,4634
Export Certification,Seeding,5232
Export Certification,Fertilization,3091
International Shipping,Irrigation,2787
International Shipping,Pest Control,2008
International Shipping,Soil Preparation,4040
International Shipping,Seeding,3855
International Shipping,Fertilization,422
