Real Estate and Housing Market,Real Estate Transaction Ecosystem,Properties,random,Property Types,Location Types,Buyer Types,Market Conditions,Financing Options
Source,Target,Value
Commercial Property,Suburban,67
Commercial Property,Urban,66
Multi-family Unit,Suburban,128
Multi-family Unit,Urban,164
Condo,Suburban,46
Condo,Urban,26
Townhouse,Suburban,22
Townhouse,Urban,61
Single Family Home,Suburban,185
Single Family Home,Urban,30
Suburban,Family,207
Suburban,Investor,183
Suburban,Retiree,58
Urban,Family,48
Urban,Investor,192
Urban,Retiree,107
Family,Buyer's Market,134
Family,Seller's Market,121
Investor,Buyer's Market,155
Investor,Seller's Market,220
Retiree,Buyer's Market,148
Retiree,Seller's Market,17
Buyer's Market,Cash Purchase,372
Buyer's Market,Mortgage,65
Seller's Market,Cash Purchase,292
Seller's Market,Mortgage,66
