Retail and E-commerce,Omni-channel Retail Purchase Ecosystem,Purchases,random,Product Categories,Regions,Customer Segments,Channels,Marketing Campaigns
Source,Target,Value
Books,Asia,2652
Books,South America,3150
Electronics,Asia,3220
Electronics,South America,6020
Beauty Products,Asia,3175
Beauty Products,South America,2627
Home Appliances,Asia,12312
Home Appliances,South America,15939
Toys,Asia,909
Toys,South America,4893
Groceries,Asia,18896
Groceries,South America,29021
Clothing,Asia,28877
Clothing,South America,16294
Asia,Teens,20165
Asia,Professionals,13513
Asia,Students,2171
Asia,Parents,15854
Asia,Young Adults,16167
Asia,Seniors,2171
South America,Teens,13471
South America,Professionals,11104
South America,Students,16365
South America,Parents,14927
South America,Young Adults,10884
South America,Seniors,11193
Teens,Online Store,9003
Teens,Mobile App,9291
Teens,Physical Store,5754
Teens,Third-Party Marketplace,9588
Professionals,Online Store,962
Professionals,Mobile App,9572
Professionals,Physical Store,8610
Professionals,Third-Party Marketplace,5473
Students,Online Store,5527
Students,Mobile App,6028
Students,Physical Store,3954
Students,Third-Party Marketplace,3027
Parents,Online Store,9364
Parents,Mobile App,4423
Parents,Physical Store,9569
Parents,Third-Party Marketplace,7425
Young Adults,Online Store,4419
Young Adults,Mobile App,7391
Young Adults,Physical Store,5157
Young Adults,Third-Party Marketplace,10084
Seniors,Online Store,2564
Seniors,Mobile App,2325
Seniors,Physical Store,3161
Seniors,Third-Party Marketplace,5314
Online Store,Flash Sale,12139
Online Store,Email Newsletter,5140
Online Store,Referral Program,7824
Online Store,Social Media Ad,6736
Mobile App,Flash Sale,19015
Mobile App,Email Newsletter,4490
Mobile App,Referral Program,13599
Mobile App,Social Media Ad,1926
Physical Store,Flash Sale,4171
Physical Store,Email Newsletter,17593
Physical Store,Referral Program,1766
Physical Store,Social Media Ad,12675
Third-Party Marketplace,Flash Sale,15003
Third-Party Marketplace,Email Newsletter,7381
Third-Party Marketplace,Referral Program,4249
Third-Party Marketplace,Social Media Ad,14278
