Education and Academics,the Overview of Education and Academics,exponential,none
Parental education (years),Test scores (score)
0.0,928.33
0.67,1386.14
1.33,470.96
2.0,407.03
2.67,782.4
3.33,901.49
4.0,1024.3
4.67,947.55
5.33,1256.97
6.0,924.15
6.67,1006.02
7.33,867.57
8.0,792.78
8.67,759.21
9.33,916.04
10.0,824.28
10.67,643.41
11.33,1423.67
12.0,1600.0
12.67,1193.78
13.33,1046.01
14.0,681.95
14.67,400.0
15.33,1256.13
16.0,687.48
16.67,794.77
17.33,502.38
18.0,700.19
18.67,1253.25
19.33,1007.74
20.0,806.71
