Energy and Utilities,the Analysis of Energy and Utilities,u_shape,negative
Infrastructure age (years),Carbon footprint (tons CO2e/year)
0.0,1.0
0.93,8.41
1.85,3.0
2.78,11.19
3.7,11.54
4.63,14.91
5.56,20.51
6.48,22.65
7.41,23.35
8.33,28.29
9.26,26.99
10.19,28.94
11.11,30.49
12.04,38.68
12.96,32.81
13.89,38.96
14.81,39.22
15.74,40.42
16.67,41.17
17.59,40.23
18.52,44.83
19.44,42.5
20.37,43.79
21.3,43.17
22.22,41.68
23.15,49.7
24.07,45.97
25.0,50.0
25.93,46.69
26.85,47.01
27.78,42.74
28.7,42.3
29.63,44.94
30.56,45.72
31.48,44.15
32.41,40.63
33.33,41.61
34.26,39.65
35.19,41.81
36.11,40.08
37.04,36.01
37.96,34.88
38.89,33.94
39.81,28.36
40.74,27.64
41.67,24.46
42.59,21.22
43.52,23.09
44.44,14.25
45.37,18.15
46.3,16.0
47.22,9.66
48.15,6.29
49.07,2.96
50.0,2.38
