Environmental Science and Ecology,the Comparison of Environmental Science and Ecology,u_shape,negative
Pollution level (index),Air quality (index)
10.0,0.0
11.91,6.55
13.83,8.71
15.74,36.5
17.66,44.94
19.57,40.78
21.49,44.79
23.4,47.59
25.32,43.86
27.23,56.82
29.15,59.78
31.06,64.61
32.98,72.61
34.89,80.52
36.81,82.44
38.72,88.58
40.64,86.04
42.55,97.78
44.47,83.62
46.38,83.35
48.3,96.67
50.21,91.46
52.13,91.91
54.04,95.77
55.96,95.65
57.87,75.27
59.79,100.0
61.7,95.17
63.62,89.45
65.53,74.23
67.45,93.39
69.36,80.23
71.28,84.27
73.19,89.39
75.11,76.24
77.02,58.19
78.94,69.27
80.85,69.69
82.77,60.65
84.68,53.98
86.6,49.44
88.51,45.74
90.43,31.45
92.34,25.96
94.26,15.0
96.17,22.4
98.09,15.94
100.0,4.39
