Environmental Science and Ecology,the Dynamics of Environmental Science and Ecology,linear,none
Pollution level (index),Air quality (index)
10.0,39.44
12.37,25.52
14.74,37.19
17.11,44.4
19.47,67.07
21.84,100.0
24.21,55.46
26.58,35.09
28.95,62.79
31.32,64.21
33.68,81.23
36.05,56.57
38.42,71.27
40.79,26.4
43.16,47.4
45.53,33.72
47.89,81.98
50.26,45.61
52.63,38.54
55.0,0.0
57.37,27.74
59.74,57.01
62.11,39.45
64.47,52.71
66.84,40.59
69.21,69.8
71.58,21.15
73.95,40.89
76.32,30.08
78.68,31.75
81.05,54.31
83.42,49.77
85.79,40.04
88.16,20.43
90.53,24.75
92.89,63.23
95.26,10.9
97.63,79.78
100.0,50.24
