Agriculture and Food Production,the Relationship of Agriculture and Food Production,exponential,positive
Fertilizer usage (kg/hectare),Product freshness (rating)
10.0,1.24
20.21,1.14
30.42,1.37
40.62,1.25
50.83,1.29
61.04,1.0
71.25,1.62
81.46,1.31
91.67,1.27
101.88,1.62
112.08,1.31
122.29,1.56
132.5,1.6
142.71,1.24
152.92,1.85
163.13,1.62
173.33,1.77
183.54,1.89
193.75,1.6
203.96,1.75
214.17,1.56
224.38,2.0
234.58,1.92
244.79,2.07
255.0,2.02
265.21,1.98
275.42,2.48
285.63,2.6
295.83,2.06
306.04,2.27
316.25,2.35
326.46,2.72
336.67,2.96
346.88,2.56
357.08,3.0
367.29,2.92
377.5,3.4
387.71,3.19
397.92,3.43
408.12,3.29
418.33,3.69
428.54,3.74
438.75,3.76
448.96,3.75
459.17,4.21
469.38,4.27
479.58,4.38
489.79,4.75
500.0,5.0
