Environmental Science and Ecology,the Overview of Environmental Science and Ecology,exponential,positive
Rainfall amount (mm/year),Air quality (index)
100.0,0.0
148.72,8.21
197.44,14.81
246.15,7.34
294.87,8.02
343.59,13.04
392.31,9.89
441.03,10.94
489.74,12.08
538.46,8.82
587.18,14.25
635.9,22.72
684.62,11.43
733.33,21.12
782.05,20.51
830.77,19.63
879.49,21.63
928.21,26.72
976.92,29.46
1025.64,26.54
1074.36,28.53
1123.08,29.87
1171.79,32.29
1220.51,36.55
1269.23,40.1
1317.95,41.59
1366.67,45.2
1415.38,46.35
1464.1,50.33
1512.82,58.09
1561.54,61.29
1610.26,62.86
1658.97,66.18
1707.69,71.76
1756.41,74.29
1805.13,81.55
1853.85,85.56
1902.56,94.02
1951.28,99.31
2000.0,100.0
