Agriculture and Food Production,the Comparison of Agriculture and Food Production,linear,negative
Fertilizer usage (kg/hectare),Soil quality (index)
10.0,93.4
17.9,95.54
25.81,88.76
33.71,100.0
41.61,88.12
49.52,77.45
57.42,99.91
65.32,71.74
73.23,46.41
81.13,87.12
89.03,90.14
96.94,94.2
104.84,78.08
112.74,55.17
120.65,77.35
128.55,56.37
136.45,78.17
144.35,78.17
152.26,50.84
160.16,58.31
168.06,72.46
175.97,49.34
183.87,57.34
191.77,35.26
199.68,62.88
207.58,48.32
215.48,59.23
223.39,48.35
231.29,46.83
239.19,23.42
247.1,53.14
255.0,18.56
262.9,77.99
270.81,48.35
278.71,58.89
286.61,65.78
294.52,44.55
302.42,43.11
310.32,68.83
318.23,25.14
326.13,53.27
334.03,32.93
341.94,42.06
349.84,20.87
357.74,24.61
365.65,32.52
373.55,11.97
381.45,33.05
389.35,47.09
397.26,41.58
405.16,15.08
413.06,39.48
420.97,37.15
428.87,42.56
436.77,32.65
444.68,0.0
452.58,36.97
460.48,45.1
468.39,20.62
476.29,27.49
484.19,21.83
492.1,24.97
500.0,14.32
