Healthcare and Medicine,the Analysis of Healthcare and Medicine,linear,negative
Blood pressure (mmHg),Patient satisfaction (rating)
80.0,5.0
82.27,2.13
84.55,1.93
86.82,3.42
89.09,3.69
91.36,3.58
93.64,3.5
95.91,2.34
98.18,2.41
100.45,3.07
102.73,3.07
105.0,3.3
107.27,3.64
109.55,4.37
111.82,3.61
114.09,2.03
116.36,3.1
118.64,3.24
120.91,2.08
123.18,2.37
125.45,1.96
127.73,2.3
130.0,3.16
132.27,1.75
134.55,2.28
136.82,1.9
139.09,3.69
141.36,3.22
143.64,2.83
145.91,2.14
148.18,2.54
150.45,2.73
152.73,1.0
155.0,1.74
157.27,2.83
159.55,2.21
161.82,2.64
164.09,1.92
166.36,2.62
168.64,3.21
170.91,1.29
173.18,2.58
175.45,2.18
177.73,2.3
180.0,2.58
