Healthcare and Medicine,the Analysis of Healthcare and Medicine,exponential,none
Treatment dosage (mg),Treatment cost ($)
10.0,31899.72
21.25,30960.76
32.5,48218.44
43.75,23022.92
55.0,25262.9
66.25,20278.65
77.5,31109.5
88.75,20979.03
100.0,13326.68
111.25,26844.77
122.5,22886.53
133.75,31614.11
145.0,26917.7
156.25,48138.0
167.5,21754.78
178.75,19797.66
190.0,34849.03
201.25,25456.1
212.5,19207.55
223.75,29710.15
235.0,100.0
246.25,3031.11
257.5,35562.43
268.75,41540.34
280.0,16666.11
291.25,6748.19
302.5,19893.84
313.75,25517.35
325.0,24337.24
336.25,29001.83
347.5,50000.0
358.75,28686.81
370.0,34902.49
381.25,36613.97
392.5,18932.62
403.75,25833.76
415.0,15207.97
426.25,23409.75
437.5,13884.26
448.75,29132.37
460.0,27099.92
471.25,20144.95
482.5,27957.14
493.75,26597.24
505.0,28375.68
516.25,12893.9
527.5,36554.11
538.75,16429.68
550.0,22499.0
561.25,28677.9
572.5,28454.52
583.75,29660.41
595.0,36772.42
606.25,12785.78
617.5,23280.41
628.75,23799.58
640.0,37219.14
651.25,20107.45
662.5,32418.55
673.75,15941.61
685.0,40021.92
696.25,32691.92
707.5,11901.67
718.75,39090.23
730.0,19625.95
741.25,21642.92
752.5,11534.61
763.75,26777.08
775.0,19503.17
786.25,47400.45
797.5,15578.27
808.75,13134.34
820.0,35564.99
831.25,45774.92
842.5,19144.57
853.75,29013.82
865.0,28664.44
876.25,16883.27
887.5,36302.97
898.75,14162.59
910.0,35626.13
921.25,16447.05
932.5,18529.7
943.75,21461.16
955.0,14719.5
966.25,25535.91
977.5,19687.81
988.75,26935.88
1000.0,23500.06
