Human Resources and Workplace,the Influence of Human Resources and Workplace,exponential,negative
Team size (people),Employee retention (%)
2.0,95.0
2.23,94.22
2.46,88.29
2.68,87.11
2.91,83.22
3.14,76.59
3.37,77.75
3.59,75.15
3.82,74.21
4.05,75.4
4.28,70.58
4.51,72.96
4.73,65.74
4.96,69.24
5.19,66.79
5.42,64.66
5.65,65.63
5.87,67.16
6.1,64.59
6.33,60.78
6.56,60.16
6.78,68.74
7.01,54.99
7.24,63.48
7.47,59.4
7.7,59.32
7.92,58.53
8.15,64.41
8.38,56.41
8.61,63.31
8.84,59.26
9.06,60.22
9.29,56.39
9.52,56.71
9.75,59.17
9.97,57.41
10.2,56.61
10.43,53.72
10.66,60.86
10.89,67.82
11.11,56.93
11.34,60.8
11.57,63.66
11.8,58.44
12.03,66.55
12.25,60.96
12.48,56.65
12.71,59.07
12.94,62.74
13.16,60.17
13.39,62.04
13.62,57.81
13.85,55.68
14.08,63.7
14.3,58.27
14.53,58.96
14.76,54.04
14.99,58.77
15.22,58.48
15.44,56.46
15.67,55.22
15.9,56.03
16.13,62.14
16.35,57.81
16.58,54.61
16.81,55.09
17.04,58.17
17.27,56.49
17.49,58.21
17.72,57.97
17.95,53.88
18.18,57.03
18.41,56.75
18.63,50.0
18.86,57.96
19.09,54.54
19.32,56.02
19.54,53.94
19.77,58.97
20.0,53.94
