Human Resources and Workplace,the Trend of Human Resources and Workplace,exponential,negative
Team size (people),Productivity (index)
2.0,143.93
2.22,150.0
2.43,147.47
2.65,137.09
2.87,137.43
3.08,134.2
3.3,121.98
3.52,121.92
3.73,119.56
3.95,94.7
4.17,106.64
4.39,110.23
4.6,95.69
4.82,100.29
5.04,98.52
5.25,90.17
5.47,85.43
5.69,104.84
5.9,99.4
6.12,99.3
6.34,80.97
6.55,69.16
6.77,68.24
6.99,77.85
7.2,70.83
7.42,68.54
7.64,71.13
7.86,79.89
8.07,70.69
8.29,70.22
8.51,82.19
8.72,82.76
8.94,59.86
9.16,73.87
9.37,67.1
9.59,69.87
9.81,70.3
10.02,59.91
10.24,63.2
10.46,57.78
10.67,64.86
10.89,76.98
11.11,68.35
11.33,68.32
11.54,66.68
11.76,66.19
11.98,55.47
12.19,56.91
12.41,71.0
12.63,65.17
12.84,81.83
13.06,66.82
13.28,76.16
13.49,62.64
13.71,52.71
13.93,72.96
14.14,52.09
14.36,54.0
14.58,60.92
14.8,59.3
15.01,62.48
15.23,54.46
15.45,61.63
15.66,63.69
15.88,59.43
16.1,67.29
16.31,72.65
16.53,50.0
16.75,56.84
16.96,67.76
17.18,52.54
17.4,70.6
17.61,57.27
17.83,78.01
18.05,62.82
18.27,53.0
18.48,55.52
18.7,51.51
18.92,63.56
19.13,80.38
19.35,71.57
19.57,77.93
19.78,63.23
20.0,56.54
