Human Resources and Workplace,the Overview of Human Resources and Workplace,linear,none
Commute time (minutes),Productivity (index)
5.0,50.5
6.98,117.6
8.95,103.53
10.93,101.4
12.91,104.32
14.88,126.53
16.86,79.64
18.84,97.11
20.81,89.25
22.79,90.83
24.77,80.61
26.74,150.0
28.72,120.42
30.7,66.55
32.67,81.79
34.65,91.09
36.63,132.95
38.6,112.25
40.58,75.01
42.56,50.0
44.53,112.24
46.51,113.14
48.49,80.67
50.47,135.43
52.44,93.58
54.42,96.26
56.4,140.53
58.37,105.82
60.35,67.18
62.33,132.35
64.3,98.53
66.28,75.63
68.26,144.92
70.23,84.43
72.21,137.14
74.19,94.42
76.16,72.17
78.14,109.63
80.12,86.67
82.09,83.73
84.07,115.66
86.05,107.12
88.02,64.37
90.0,107.8
