Real Estate and Construction,the Interaction of Real Estate and Construction,exponential,positive
Development density (units/acre),Property value ($)
1.0,1304623.67
4.3,403579.3
7.6,986918.99
10.9,1253879.29
14.2,50000.0
17.5,1028448.85
20.8,1034790.54
24.1,878424.45
27.4,1702881.29
30.7,2198199.14
34.0,1633875.5
37.3,745013.52
40.6,1299992.0
43.9,986716.98
47.2,2444291.48
50.5,1339362.82
53.8,2540954.56
57.1,2265367.71
60.4,2968362.05
63.7,2675411.19
67.0,1847394.92
70.3,2733539.77
73.6,3753000.52
76.9,2572182.68
80.2,2592619.25
83.5,4045880.8
86.8,3623068.97
90.1,3496158.3
93.4,3986970.9
96.7,4252446.67
100.0,5000000.0
