Retail and Consumer Behavior,the Correlation of Retail and Consumer Behavior,linear,none
Store size (m³),Foot traffic (people/day)
100.0,68746.04
216.47,58683.71
332.94,39309.27
449.41,100000.0
565.88,20110.52
682.35,32941.49
798.82,53065.06
915.29,33088.63
1031.76,26748.16
1148.24,57155.16
1264.71,67927.28
1381.18,43216.42
1497.65,26869.5
1614.12,46815.05
1730.59,38108.39
1847.06,43190.48
1963.53,50348.63
2080.0,10711.98
2196.47,20916.71
2312.94,15860.58
2429.41,62003.35
2545.88,12089.43
2662.35,73876.41
2778.82,43464.58
2895.29,100.0
3011.76,59778.84
3128.24,81322.9
3244.71,75228.91
3361.18,27207.5
3477.65,34300.07
3594.12,23674.16
3710.59,55600.39
3827.06,50197.96
3943.53,52618.2
4060.0,26683.21
4176.47,65665.19
4292.94,29614.54
4409.41,36689.86
4525.88,42466.6
4642.35,20638.91
4758.82,19181.82
4875.29,44004.71
4991.76,46890.77
5108.24,20045.62
5224.71,24312.52
5341.18,41317.08
5457.65,21760.89
5574.12,19783.22
5690.59,49037.85
5807.06,63704.81
5923.53,27055.92
6040.0,56747.56
6156.47,40689.75
6272.94,53729.53
6389.41,28106.57
6505.88,64250.36
6622.35,34504.66
6738.82,35031.84
6855.29,32721.24
6971.76,8553.63
7088.24,39670.69
7204.71,38995.99
7321.18,19495.98
7437.65,38981.2
7554.12,40508.01
7670.59,14058.18
7787.06,38495.51
7903.53,4140.38
8020.0,48333.4
8136.47,66536.47
8252.94,63612.54
8369.41,43900.95
8485.88,20908.54
8602.35,50323.27
8718.82,54747.6
8835.29,14292.28
8951.76,21082.56
9068.24,65493.03
9184.71,65314.61
9301.18,61125.27
9417.65,54621.12
9534.12,84281.97
9650.59,14572.17
9767.06,57230.22
9883.53,9813.13
10000.0,31738.89
