Retail and Consumer Behavior,the Comparison of Retail and Consumer Behavior,u_shape,negative
Customer reviews count (count),Customer satisfaction (rating)
1.0,1.1
223.2,1.51
445.4,2.09
667.6,1.7
889.8,1.72
1112.0,2.39
1334.2,2.63
1556.4,2.96
1778.6,2.7
2000.8,3.44
2223.0,3.91
2445.2,3.76
2667.4,3.96
2889.6,3.92
3111.8,3.99
3334.0,4.29
3556.2,4.28
3778.4,4.24
4000.6,4.2
4222.8,4.47
4445.0,4.31
4667.2,4.35
4889.4,4.74
5111.6,4.54
5333.8,4.23
5556.0,4.36
5778.2,4.6
6000.4,5.0
6222.6,4.17
6444.8,4.26
6667.0,3.99
6889.2,4.3
7111.4,4.31
7333.6,3.7
7555.8,4.11
7778.0,3.65
8000.2,3.09
8222.4,3.38
8444.6,2.79
8666.8,2.52
8889.0,2.3
9111.2,2.33
9333.4,1.83
9555.6,1.8
9777.8,1.0
10000.0,1.12
