Sports and Fitness,the Trend of Sports and Fitness,linear,none
Athlete age (years),Recovery time_Sports (days)
15.0,4.0
15.26,4.92
15.52,3.57
15.78,5.22
16.04,5.18
16.3,4.91
16.56,6.78
16.82,5.18
17.08,2.53
17.34,4.92
17.6,5.1
17.86,2.41
18.12,1.51
18.39,3.81
18.65,7.0
18.91,3.51
19.17,4.54
19.43,4.71
19.69,4.35
19.95,5.64
20.21,3.93
20.47,4.14
20.73,5.38
20.99,3.73
21.25,5.33
21.51,3.41
21.77,3.54
22.03,3.14
22.29,5.19
22.55,2.66
22.81,3.09
23.07,4.77
23.33,3.54
23.59,4.78
23.85,2.54
24.11,3.19
24.38,5.02
24.64,2.02
24.9,2.48
25.16,2.53
25.42,4.43
25.68,4.46
25.94,2.47
26.2,4.54
26.46,4.71
26.72,3.84
26.98,5.74
27.24,5.06
27.5,0.5
27.76,1.59
28.02,5.13
28.28,4.1
28.54,3.82
28.8,4.64
29.06,4.03
29.32,4.22
29.58,1.98
29.84,3.77
30.1,2.06
30.36,2.6
30.63,4.1
30.89,1.8
31.15,4.47
31.41,3.01
31.67,4.8
31.93,2.73
32.19,2.61
32.45,3.29
32.71,3.88
32.97,4.44
33.23,4.68
33.49,1.78
33.75,3.2
34.01,5.23
34.27,3.35
34.53,4.62
34.79,3.79
35.05,2.15
35.31,3.18
35.57,3.17
35.83,3.6
36.09,3.52
36.35,2.79
36.61,4.42
36.88,4.61
37.14,2.09
37.4,3.86
37.66,5.52
37.92,3.45
38.18,5.25
38.44,4.35
38.7,5.52
38.96,3.99
39.22,5.4
39.48,4.66
39.74,4.58
40.0,3.62
