Sports and Fitness,the Interaction of Sports and Fitness,u_shape,negative
Nutrition intake (calories/day),Performance score (score)
1000.0,4.99
1137.93,2.71
1275.86,17.7
1413.79,39.04
1551.72,42.28
1689.66,48.77
1827.59,50.83
1965.52,46.14
2103.45,80.41
2241.38,78.06
2379.31,89.7
2517.24,82.14
2655.17,76.97
2793.1,81.92
2931.03,76.63
3068.97,95.61
3206.9,89.19
3344.83,100.0
3482.76,77.46
3620.69,82.89
3758.62,81.33
3896.55,78.85
4034.48,75.4
4172.41,63.88
4310.34,37.18
4448.28,33.17
4586.21,23.02
4724.14,45.64
4862.07,8.17
5000.0,0.0
