Technology and Innovation,the Correlation of Technology and Innovation,u_shape,positive
R&D investment ($),Productivity growth (%)
100000.0,9.86
2021153.85,9.67
3942307.69,9.16
5863461.54,7.06
7784615.38,7.57
9705769.23,6.97
11626923.08,5.77
13548076.92,5.22
15469230.77,4.75
17390384.62,4.77
19311538.46,3.86
21232692.31,3.5
23153846.15,4.0
25075000.0,3.24
26996153.85,2.43
28917307.69,2.1
30838461.54,1.7
32759615.38,1.34
34680769.23,1.07
36601923.08,0.7
38523076.92,1.85
40444230.77,1.17
42365384.62,0.11
44286538.46,0.88
46207692.31,1.45
48128846.15,0.34
50050000.0,1.34
51971153.85,0.38
53892307.69,0.53
55813461.54,0.0
57734615.38,0.81
59655769.23,0.95
61576923.08,0.94
63498076.92,0.75
65419230.77,1.7
67340384.62,2.02
69261538.46,1.15
71182692.31,2.54
73103846.15,2.8
75025000.0,2.64
76946153.85,2.78
78867307.69,3.99
80788461.54,3.97
82709615.38,4.76
84630769.23,4.46
86551923.08,6.09
88473076.92,6.0
90394230.77,7.65
92315384.62,7.88
94236538.46,7.92
96157692.31,7.98
98078846.15,8.77
100000000.0,10.0
