Tourism and Hospitality,the Interaction of Tourism and Hospitality,exponential,negative
Seasonality index (index),Occupancy rate (%)
0.0,100.0
0.13,94.65
0.26,86.59
0.38,87.58
0.51,79.28
0.64,77.3
0.77,66.15
0.9,65.04
1.03,62.67
1.15,58.16
1.28,59.97
1.41,72.53
1.54,57.78
1.67,65.18
1.79,52.46
1.92,52.3
2.05,60.25
2.18,56.31
2.31,63.27
2.44,54.62
2.56,50.86
2.69,40.1
2.82,40.74
2.95,51.47
3.08,44.9
3.21,47.17
3.33,47.76
3.46,42.47
3.59,45.18
3.72,49.31
3.85,41.59
3.97,47.7
4.1,53.78
4.23,46.38
4.36,43.49
4.49,45.03
4.62,39.9
4.74,40.93
4.87,40.44
5.0,35.9
5.13,45.17
5.26,38.57
5.38,41.58
5.51,42.03
5.64,50.56
5.77,38.5
5.9,50.83
6.03,58.22
6.15,42.68
6.28,56.55
6.41,38.46
6.54,55.26
6.67,46.55
6.79,45.27
6.92,30.0
7.05,53.58
7.18,40.5
7.31,41.27
7.44,40.08
7.56,50.22
7.69,30.54
7.82,38.24
7.95,40.03
8.08,35.12
8.21,35.22
8.33,32.0
8.46,31.4
8.59,45.43
8.72,40.96
8.85,43.56
8.97,42.75
9.1,46.27
9.23,50.27
9.36,35.08
9.49,31.21
9.62,36.73
9.74,42.44
9.87,45.79
10.0,39.38
