Tourism and Hospitality,the Trend of Tourism and Hospitality,linear,negative
Seasonality index (index),Occupancy rate (%)
0.0,78.35
0.2,67.09
0.4,86.44
0.6,70.2
0.8,79.02
1.0,73.01
1.2,81.27
1.4,77.23
1.6,58.32
1.8,89.7
2.0,61.66
2.2,64.77
2.4,90.05
2.6,87.51
2.8,100.0
3.0,66.97
3.2,84.63
3.4,83.58
3.6,92.3
3.8,79.76
4.0,66.92
4.2,55.82
4.4,66.37
4.6,81.28
4.8,75.9
5.0,42.56
5.2,63.69
5.4,48.57
5.6,58.68
5.8,45.4
6.0,59.91
6.2,73.61
6.4,71.17
6.6,76.67
6.8,76.33
7.0,30.0
7.2,50.45
7.4,53.93
7.6,56.58
7.8,57.79
8.0,54.46
8.2,69.73
8.4,75.85
8.6,30.25
8.8,77.04
9.0,57.49
9.2,62.2
9.4,61.05
9.6,39.47
9.8,32.88
10.0,64.31
