Business and Finance,Customer Acquisition Cost,$
trend,periodic_stable,stable_rising,volatile_rising
Year,Ironclad Ventures,Horizon Enterprises,Vanguard Dynamics
1995,96.85,98.57,95.13
1996,128.9,105.17,106.52
1997,114.14,111.79,120.19
1998,85.17,113.17,127.8
1999,84.4,121.52,125.36
2000,100.92,125.2,141.56
2001,119.24,127.79,146.49
2002,118.16,130.08,149.83
2003,83.87,146.0,175.96
2004,67.49,145.0,163.61
2005,99.8,149.78,173.66
2006,127.53,161.35,193.54
2007,118.58,158.16,199.32
2008,80.67,169.73,208.99
2009,78.09,167.35,198.72
2010,100.16,171.42,212.05
2011,127.3,175.79,228.75
2012,112.28,185.19,230.51
2013,83.69,192.15,250.95
2014,76.29,191.76,256.44
2015,97.02,204.35,254.67
2016,124.58,204.89,267.64
