Cultural Trends and Influences,Book Sales,copies
trend,exponential_falling,volatile_falling
Year,Scrolls of Meridian,Azure Ink Works
2001,516553.46,546340.58
2002,444944.05,503777.38
2003,391487.16,376914.71
2004,354330.0,379976.43
2005,334261.0,360336.01
2006,319085.41,327194.61
2007,260145.3,304776.83
2008,214222.64,282477.49
2009,235157.78,295316.39
2010,186923.67,260926.16
2011,190981.44,197582.54
2012,145123.7,162977.02
2013,110393.15,148510.09
2014,146824.47,130700.18
2015,119119.93,52570.28
2016,108811.66,5000.0
2017,108915.87,5000.0
