Cultural Trends and Influences,Art Gallery Visitors,visitors
trend,volatile_rising,exponential_falling,stable_falling,volatile_falling,periodic_stable,stable_falling
Year,Aura Fine Arts,The Gilded Frame,Zenith Sculpture Garden,Ironwood Gallery,Meridian Art Collective,Stellar Exhibit Hall
1969,304813.75,309012.12,301740.57,313153.05,301968.23,287892.85
1970,296329.88,269793.5,289358.33,258159.19,369243.16,299801.31
1971,343625.89,229516.4,285022.04,280823.8,344714.36,277597.85
1972,351543.37,222281.57,270955.24,238221.93,257512.97,265458.12
1973,413656.69,208147.27,268743.88,216354.7,249398.83,258591.37
1974,450328.9,171621.93,251635.03,188502.02,291320.92,255800.65
1975,469802.53,151473.06,261297.17,210876.78,374686.24,257422.23
1976,480868.54,140287.09,229269.84,171631.81,327139.18,231344.33
1977,504753.09,136682.39,218679.5,125969.65,258438.1,236223.16
1978,517045.66,125619.13,222787.26,148120.58,212064.44,224381.6
1979,528098.48,90907.61,223113.51,117662.47,282025.1,229383.78
1980,581285.87,94541.73,192759.78,116096.1,368382.37,217570.78
1981,564429.36,70530.69,192082.39,98208.79,356124.26,210061.49
1982,612619.47,80707.38,191321.76,80202.88,261920.41,181987.4
1983,595106.52,76547.53,186146.32,53530.54,240832.76,171829.81
