Cultural Trends and Influences,Art Gallery Visitors,visitors
trend,periodic_stable,volatile_rising,exponential_falling
Year,Whispering Canvas,The Gilded Frame,Zenith Sculpture Garden
1989,296834.67,303785.84,289866.58
1990,372883.44,319381.65,269316.56
1991,341860.95,355196.35,254679.97
1992,269024.06,384059.6,233789.02
1993,231415.24,393588.35,189399.34
1994,300154.71,452198.06,184604.16
1995,362404.2,441301.54,176149.06
1996,355968.68,488945.69,139789.11
1997,266406.89,500619.01,122436.33
1998,233229.51,525764.98,119980.41
1999,301197.78,508984.49,111746.52
2000,368231.37,551619.8,89890.5
2001,336054.91,606296.2,93984.87
2002,250297.58,637813.35,83583.02
2003,229724.13,668121.4,57321.28
2004,298386.79,695018.28,62823.88
2005,376739.18,689300.37,66007.52
2006,354160.11,727821.58,42368.0
2007,249010.92,728712.89,66523.01
2008,248986.6,729987.76,36108.0
2009,304719.76,783524.56,29196.52
2010,351570.16,803664.87,15937.45
