Cultural Trends and Influences,Art Gallery Visitors,visitors
trend,periodic_stable,stable_falling,volatile_rising,volatile_rising
Year,Zenith Sculpture Garden,Whispering Canvas,Meridian Art Collective,The Gilded Frame
1967,297648.66,293446.58,274706.64,260053.49
1968,358721.88,304662.03,320005.79,335741.49
1969,334708.27,272386.1,365597.76,360877.03
1970,254274.1,268554.9,399027.3,361827.16
1971,222827.55,255328.08,385566.05,381986.2
1972,292873.7,262374.11,442500.87,434511.27
1973,371803.75,237052.29,492962.45,453773.82
1974,347397.39,244110.08,478085.69,461536.08
1975,239012.13,230757.59,506592.65,468856.33
1976,210963.81,225655.23,508052.33,499481.4
1977,297506.52,198078.0,535871.72,552624.54
1978,381388.39,197350.22,583712.28,560525.54
1979,339406.84,185903.46,579385.49,575349.76
1980,264194.36,183358.52,609737.56,636824.29
1981,229754.56,174520.64,634002.08,657844.4
1982,297885.53,165113.68,651007.1,673985.16
1983,369281.82,151154.72,686420.12,694887.2
1984,326891.03,145081.88,719049.44,717829.22
1985,256872.66,146124.44,737117.8,707109.0
1986,214463.28,127987.3,760626.19,795837.44
1987,294452.48,118982.4,804111.93,765514.91
1988,370753.26,104999.5,810698.2,804896.71
