Cultural Trends and Influences,Cinema Attendance,tickets
trend,stable_rising,exponential_falling,volatile_rising,exponential_rising,exponential_falling,volatile_falling,volatile_rising
Year,Aethelgard Film Palace,Zenith Multiplex,The Grand Celestial,Meridian Picture House,Starlight Studios,Silver Screen Sanctuary,Azure Vista Cinema
1978,2025303.73,1953865.15,1910960.01,2018690.3,2030498.16,2074229.61,2001228.27
1979,2057944.66,1801925.57,2137859.33,2157098.51,1761229.55,1944898.14,2221445.14
1980,2226541.24,1649152.52,2365867.11,2410904.32,1598269.08,1732943.51,2240855.85
1981,2277599.42,1439952.13,2463494.07,2730294.68,1482515.55,1528056.96,2433176.32
1982,2424195.11,1317162.7,2766876.34,2995828.89,1341459.64,1648222.34,2467100.08
1983,2520158.07,1285234.19,2819083.5,3228471.74,1200618.95,1345632.13,2849790.06
1984,2606727.2,1040433.75,2962518.19,3514209.71,990624.78,1273076.69,3049874.01
1985,2698537.45,1030892.55,3072647.82,3805988.74,962390.09,1162124.11,3152386.69
1986,2815119.42,937138.23,3355305.9,4314722.04,846740.89,923774.13,3274425.34
1987,2948112.68,690910.62,3477702.78,4666923.71,798017.55,869995.2,3396266.87
1988,2941120.75,688891.45,3743118.34,5305502.91,650465.79,897831.91,3514060.42
1989,3133948.12,663631.31,3698845.53,5687596.19,602297.87,655853.58,3979061.86
1990,3196219.8,529009.03,3952226.38,6298292.66,535619.27,621295.86,3973157.24
1991,3241442.67,513130.81,4053136.56,6878423.2,492000.88,447041.97,4079617.39
1992,3548228.6,405017.55,4255209.81,7438056.03,454433.72,176684.89,4267559.65
1993,3501160.91,413661.72,4319046.95,8344710.92,443961.9,232258.59,4237844.5
