Education and Academics,Research Funding,$
trend,stable_falling,periodic_stable,volatile_rising
Year,Silverhaven Polytechnic,Meridian Academy,Zenith Institute of Technology
2009,492774.95,520519.58,481127.89
2010,496370.73,626335.55,551585.17
2011,494712.28,577089.26,573696.26
2012,425076.87,419843.72,610973.03
2013,447559.62,374951.43,625460.86
2014,426790.97,507264.38,694528.92
2015,395687.45,598705.42,741327.58
2016,395302.68,558388.09,855831.96
2017,376337.66,399481.63,856146.2
2018,356893.14,389745.75,829407.7
2019,343442.14,492784.31,885369.86
2020,367891.48,628999.93,926592.04
2021,325763.58,590470.69,946428.13
