Energy and Utilities,Carbon Emissions,tons
trend,exponential_rising,stable_rising,exponential_rising,exponential_falling,volatile_rising,volatile_falling,stable_falling
Year,Borealis Renewables,Stellar Grid Solutions,Zephyr Waste Solutions,Meridian Gas & Electric,Solara Energy Corp,AquaFlow Utilities,TerraGen Power
1977,5102073.28,4807466.55,4955350.62,5225899.11,4919008.74,4757944.86,5035470.38
1978,5332217.8,5359065.47,5479451.53,4714122.09,5489492.2,4655416.41,4794311.45
1979,6073527.57,5634965.68,6026123.93,4142150.09,6000164.24,4303214.21,4742970.97
1980,6702563.55,5789725.47,6707712.07,3685345.46,5940580.2,3952337.05,4433516.53
1981,7265813.51,6110970.39,7320455.03,3187852.8,6536118.49,3742990.43,4048933.28
1982,8197127.49,6300184.49,8117820.82,2776880.73,7169153.46,3415166.68,4405367.45
1983,8937883.43,6608248.64,8874134.01,2789251.62,7554427.18,3056214.04,4232922.77
1984,9672225.97,6680208.96,9795363.02,2480783.73,8005837.7,2888092.12,3898613.9
1985,10770707.57,7060153.01,10683651.6,2282457.66,8268920.97,2416159.03,3782497.51
1986,11734804.55,7284867.33,11797991.01,1900278.18,8834547.75,2121730.03,3382564.25
1987,12946077.31,7395370.42,13112289.81,1770249.47,8703005.95,1764648.96,3144550.36
1988,13976373.09,7642047.58,14359065.12,1636645.8,9258468.61,2040532.04,3354703.38
1989,15693801.82,7922543.51,15769078.54,1418839.05,9687536.75,1354079.5,3137239.54
1990,17314634.62,8239477.24,17304061.2,1298274.02,9566765.4,637617.58,2900426.06
1991,18782740.97,8416221.75,18941504.16,989084.11,10796880.66,461298.62,3032184.7
1992,20739693.97,8653004.77,20736095.59,1060384.84,11191530.15,503692.06,3056648.75
1993,22899747.4,9035599.94,23136784.87,779263.47,11524135.36,233830.38,2664505.38
1994,25186868.63,9000449.54,25169577.09,745504.55,12269563.64,200867.15,2499345.73
1995,27891532.67,9755514.8,27824300.06,839181.64,12071449.55,50000.0,2229593.11
1996,30387538.74,9731652.02,30523029.8,663994.07,12231085.04,50000.0,2051945.93
1997,33666335.22,10073166.68,33766877.51,686131.22,12820094.79,50000.0,2038075.85
1998,36904213.47,10124593.96,36966493.52,468045.34,13091406.05,50000.0,1736574.27
1999,40601285.45,10209646.93,40778596.27,570233.79,14175044.72,50000.0,1609836.15
2000,44638992.96,10681801.07,44773654.48,416754.12,14203603.01,50000.0,1517703.23
2001,49253287.77,11069907.65,49469865.54,352731.35,14264618.75,50000.0,1333790.6
2002,54108473.45,11141643.36,54025532.43,468273.25,15010958.1,50000.0,1296993.32
2003,59601450.68,11548291.3,59735876.87,329263.7,15355677.82,50000.0,1101694.95
2004,65410655.74,11731891.1,65633064.66,454361.58,15866614.0,50000.0,798258.93
