Energy and Utilities,Natural Gas Prices,$/cubic meter
trend,periodic_stable,exponential_rising,stable_falling,exponential_rising,exponential_rising,periodic_stable
Year,SkyFlow Water Index,Zephyr Gas Index,GeoHeat Commodity,Lumina Energy Market,Solara Power Futures,AquaSource Trading
1976,1.99,2.0,2.05,2.0,1.95,2.1
1977,2.54,2.19,1.97,2.15,2.21,2.48
1978,2.28,2.43,1.88,2.36,2.4,2.3
1979,1.74,2.67,1.77,2.62,2.65,1.69
1980,1.58,2.89,1.72,2.91,2.94,1.54
1981,2.0,3.26,1.68,3.23,3.22,1.93
1982,2.47,3.54,1.61,3.5,3.54,2.45
1983,2.31,3.93,1.59,3.92,3.86,2.25
