Energy and Utilities,Waste Recycled,tons
trend,exponential_rising,stable_rising,volatile_falling,periodic_stable
Year,Zenith Metropolis Waste Management,Aethelgard City Waste Services,Borealis Township Cleanup,Silverhaven District Recycling
1992,53001.74,46710.09,48547.63,48063.93
1993,54822.02,49794.52,44716.98,62387.49
1994,61577.48,55945.58,41527.92,58441.98
1995,65154.9,59824.15,40287.79,41937.71
1996,71702.47,59494.13,36692.63,37951.58
1997,79730.25,64629.88,29986.09,50328.11
1998,90020.83,64741.61,30387.66,62547.31
1999,98173.61,67717.59,29941.84,56177.46
2000,105133.4,69166.76,26509.17,44583.53
2001,115615.97,72583.12,22947.66,37810.45
2002,131877.87,73281.6,16867.44,51115.89
2003,140129.21,78308.88,16110.42,62810.82
