Food and Beverage Industry,Customer Traffic,customers/day
trend,exponential_falling,volatile_falling,periodic_stable,periodic_stable
Year,The Cozy Nook,Sky High Cafe,The Rusty Kettle,Emerald Diner
2003,501.27,555.73,498.63,525.41
2004,436.56,458.27,647.86,629.95
2005,400.98,453.83,571.72,580.31
2006,372.26,423.44,437.62,425.46
2007,356.03,416.72,376.81,366.55
2008,285.77,372.38,506.48,490.87
2009,273.38,297.22,629.71,616.73
2010,251.56,298.39,562.1,584.53
2011,218.41,242.07,409.64,426.22
2012,214.06,255.97,390.12,359.92
2013,192.17,172.49,477.96,489.35
2014,146.48,151.17,633.15,610.17
2015,148.02,146.22,560.87,552.19
2016,97.53,138.38,440.75,419.42
2017,107.28,94.97,385.3,378.18
2018,110.61,22.77,491.64,482.67
2019,106.86,61.01,612.85,600.36
