Healthcare and Health,Average Treatment Cost,$
trend,exponential_rising,periodic_stable
Year,Pediatric Treatment,Rehabilitation Therapy
1958,5092.81,4826.6
1959,5488.94,5985.34
1960,6116.49,6125.02
1961,6598.66,4081.91
1962,7516.53,4023.67
1963,8210.34,5163.19
1964,8616.23,6081.26
1965,9762.84,5673.66
1966,10644.26,4165.87
1967,11813.96,3733.47
1968,12936.52,5125.28
1969,14247.36,6135.45
1970,15807.77,5774.33
1971,17150.46,4116.68
1972,19247.25,3706.72
1973,20952.35,4941.55
1974,22945.05,6037.25
1975,25669.86,5715.9
1976,27928.16,4359.27
1977,30480.26,3831.84
1978,33579.75,5087.57
1979,37028.25,5876.83
1980,40859.18,5681.45
1981,44641.37,4273.42
1982,49278.02,3511.16
1983,54102.31,5083.31
