Human Resources and Employee Management,Employee Satisfaction,%
trend,volatile_rising,volatile_rising,volatile_falling,stable_falling
Year,Management Team,Sales Team,Research & Development,Engineering Department
1997,72.52,70.63,71.9,69.78
1998,77.21,74.11,68.32,68.59
1999,81.8,81.0,64.35,64.29
2000,88.42,87.32,58.82,64.16
2001,92.91,87.77,56.11,61.47
2002,99.95,94.6,49.2,61.0
2003,100,100,46.57,55.88
2004,100,100,37.41,53.33
2005,100,100,37.26,54.88
2006,100,100,33.27,51.63
2007,100,100,28.59,48.75
2008,100,100,20.62,45.17
2009,100,100,16.53,43.77
2010,100,100,14.15,43.66
2011,100,100,19.14,40.28
2012,100,100,5.01,39.7
2013,100,100,4.09,37.31
2014,100,100,0.7,33.28
2015,100,100,0.7,33.84
2016,100,100,0.7,30.74
2017,100,100,0.7,28.39
2018,100,100,0.7,27.42
