Real Estate and Housing Market,Mortgage Rate,%
trend,exponential_rising,stable_falling,periodic_stable,exponential_falling,stable_falling,exponential_rising,exponential_rising
Year,Aura Finance,Emerald Capital,Horizon Funding,Sapphire Loans,Apex Credit,Titan Lending,Starlight Loans
1965,4.01,3.99,3.95,4.02,3.97,4.03,4.03
1966,4.45,3.93,4.99,3.56,3.84,4.45,4.41
1967,4.87,3.78,4.66,3.28,3.79,4.81,4.84
1968,5.37,3.66,3.36,2.89,3.63,5.32,5.26
1969,5.88,3.57,3.01,2.6,3.49,5.82,5.86
1970,6.42,3.42,3.99,2.36,3.41,6.43,6.46
1971,7.05,3.26,4.84,2.16,3.29,7.01,7.09
1972,7.83,3.22,4.64,1.88,3.13,7.8,7.75
1973,8.59,2.97,3.38,1.73,3.06,8.6,8.56
1974,9.44,2.85,3.08,1.55,2.95,9.43,9.48
1975,10.35,2.8,4.0,1.4,2.81,10.44,10.37
1976,11.45,2.7,4.94,1.22,2.67,11.42,11.45
1977,12.53,2.57,4.59,1.2,2.63,12.58,12.59
1978,13.81,2.46,3.46,0.95,2.45,13.85,13.81
1979,15.28,2.3,3.03,0.92,2.25,15.17,15.21
1980,16.7,2.23,3.97,0.79,2.17,16.64,16.7
1981,18.36,2.04,4.97,0.76,2.1,18.38,18.39
1982,20.16,2.09,4.62,0.68,1.91,20.19,20.18
1983,22.25,1.85,3.35,0.57,1.82,22.25,22.2
1984,24.46,1.72,3.14,0.59,1.72,24.46,24.47
1985,26.89,1.58,3.98,0.53,1.63,26.88,26.89
1986,29.59,1.44,4.92,0.45,1.45,29.6,29.58
