Retail and E-commerce,Loyalty Program Growth,users
trend,stable_falling,stable_rising,exponential_falling
Year,Family Plans,Student Discounts,Flash Sale Subscribers
1952,479176.95,487042.1,506025.42
1953,477693.86,560365.94,450399.52
1954,449132.4,497221.89,353375.39
1955,460215.92,551832.55,294550.38
1956,389049.75,649088.2,360273.03
1957,456916.35,620514.3,284982.08
1958,346316.36,631498.22,273018.63
1959,436728.58,658995.61,203553.0
1960,317548.64,685947.29,199239.46
1961,317105.5,746992.6,164625.63
1962,408477.0,784406.73,161672.75
1963,368733.38,806060.85,149434.91
1964,259140.0,810016.71,122827.75
1965,245024.03,858768.22,133149.19
1966,224094.37,859381.25,55954.21
1967,291930.1,878066.89,70642.5
1968,282148.92,873114.49,65475.06
1969,247077.61,905674.39,130970.98
1970,211312.81,957096.7,69995.98
1971,239833.76,1030111.79,117449.4
1972,158429.96,1006467.64,45745.4
1973,208933.66,1041876.03,49150.86
1974,122210.47,1090729.28,39843.11
1975,149597.67,1074591.75,43001.12
1976,98801.67,1119477.37,5000.0
1977,194756.85,1144909.24,5000.0
