Retail and E-commerce,Delivery Time,days
trend,volatile_falling,periodic_stable,volatile_falling,exponential_falling,periodic_stable
Year,Express Couriers,Drone Delivery,International Freight,Rural Logistics,Autonomous Vehicles
1970,2.64,2.52,2.44,2.45,2.45
1971,2.41,3.16,2.5,2.33,3.13
1972,2.25,2.86,2.23,2.03,2.96
1973,2.32,2.04,1.83,1.83,2.15
1974,1.74,1.86,2.09,1.63,1.91
1975,1.67,2.44,1.69,1.32,2.52
1976,1.59,3.23,1.45,1.32,3.14
1977,1.45,2.89,1.93,1.29,2.83
1978,1.1,2.09,1.24,1.05,2.21
1979,0.79,1.9,1.23,0.93,1.89
1980,0.83,2.41,1.19,0.8,2.42
1981,0.89,3.11,1.3,0.82,3.12
1982,0.8,2.99,0.93,0.77,2.96
1983,0.59,2.33,0.81,0.51,2.2
1984,0.47,1.96,0.28,0.56,1.96
1985,0.2,2.38,0.46,0.57,2.51
1986,0.03,3.09,0.26,0.42,3.11
1987,0.03,2.81,0.03,0.37,2.85
1988,0.03,2.06,0.03,0.35,2.07
1989,0.03,1.8,0.03,0.34,2.0
1990,0.03,2.45,0.03,0.17,2.56
1991,0.03,3.05,0.03,0.38,3.2
1992,0.03,2.84,0.03,0.21,3.01
1993,0.03,2.18,0.03,0.45,2.16
1994,0.03,1.94,0.03,0.18,1.9
1995,0.03,2.53,0.03,0.15,2.49
1996,0.03,3.15,0.03,0.28,3.13
1997,0.03,2.94,0.03,0.16,2.89
