Science and Engineering,Patent Applications,applications
trend,stable_rising,exponential_rising,stable_falling,exponential_rising
Year,Crimson Group,Nova Industries,Oracle Systems,Echo Dynamics
1983,4991.17,5303.51,5183.18,5031.02
1984,5158.52,5512.95,5144.12,5841.02
1985,5255.91,6053.86,4727.17,6033.98
1986,5675.7,6517.92,4507.95,6574.56
1987,5815.64,7334.76,4546.77,7173.45
1988,6105.36,8110.19,4417.21,8069.82
1989,6824.41,8847.82,3850.01,8959.28
1990,6791.18,9829.53,3667.86,10072.66
1991,6903.48,10749.09,4088.17,10836.93
1992,7177.82,11808.38,3493.84,11809.92
1993,7747.12,12978.5,3386.76,12719.75
1994,7803.76,14327.9,3347.42,14450.6
1995,8036.53,15443.33,3278.9,15812.04
1996,8327.08,17238.13,2993.48,17110.16
1997,8467.73,18878.51,2603.58,19019.37
1998,8652.63,20870.42,2951.62,20745.45
