Science and Engineering,Research Grants Awarded,$
trend,exponential_rising,exponential_rising,stable_falling
Year,Starburst College,Echo Research,Aether University
1997,1946954.92,1944799.59,2080009.7
1998,2408869.76,2162864.86,2005119.39
1999,2420998.88,2407502.08,1850790.33
2000,2557080.5,2583955.97,1907361.46
2001,2896109.75,2906383.65,1768270.9
2002,3212340.31,3134915.22,1887617.38
2003,3642562.0,3477413.37,1659725.37
2004,3720543.69,3992680.06,1456186.59
2005,4237180.0,4207596.65,1620983.08
2006,4820560.89,4740520.12,1516758.76
2007,5105131.33,5174767.73,1481693.31
2008,5529291.26,5887691.57,1307223.05
2009,6323354.57,6215815.18,1094696.25
2010,7009165.8,6964458.12,1324913.53
2011,7551794.32,7595261.52,1150229.27
2012,8421640.01,8526799.33,1127924.73
2013,9162051.71,9201637.69,938625.53
2014,10023840.89,10016780.19,1044777.89
2015,11080785.15,11332375.06,945025.18
2016,12161609.36,12166185.72,748500.4
2017,13536495.82,13382609.29,845283.55
2018,14933027.96,14862028.65,724592.53
2019,16191692.9,16485050.45,606009.63
2020,17974569.65,17716304.86,771150.99
2021,19710017.8,19731834.04,362120.86
