Science and Engineering,Research Grants Awarded,$
trend,periodic_stable,periodic_stable,periodic_stable,stable_rising,stable_rising,exponential_rising
Year,Aether University,Oracle Labs,Crimson Foundation,Echo Research,Starburst College,Luminara Academy
1961,1976799.59,1945239.78,1906168.75,1871626.16,1981032.34,1894212.57
1962,2482853.2,2370068.81,2695500.5,2041806.46,2273275.3,2291814.95
1963,2304433.27,2407720.1,2305933.24,2387498.9,2260406.26,2443273.9
1964,1737240.28,1703929.93,1744770.96,2253833.29,2338047.94,2602527.45
1965,1593401.46,1494599.06,1567817.49,2485276.56,2382097.12,2884594.67
1966,2064226.12,1835180.97,1863325.05,2516847.58,2449892.98,3019985.77
1967,2447244.12,2269245.71,2424248.32,2628547.26,2635494.09,3624524.56
1968,2247024.6,2321899.31,2213008.37,2660365.16,2756057.03,3879548.28
1969,1760648.83,1908042.92,1815664.61,2765105.45,2659650.01,4522018.04
1970,1556312.1,1460126.77,1498396.61,2799791.06,2785758.42,4636153.07
1971,2013674.27,2276589.28,1881776.59,2945842.96,2952102.55,5005017.65
1972,2468319.73,2456102.33,2558339.79,3195331.01,3090888.26,5506729.23
1973,2179811.33,2242986.03,2154971.04,3112471.58,3164627.64,6381155.88
1974,1751108.49,1779663.18,1805718.43,3210571.35,3185625.96,6870391.61
1975,1652539.18,1574283.7,1532141.85,3512973.1,3583451.81,7469580.36
