Social Media and Digital Media and Streaming,Subscription Revenue,$
trend,stable_falling,volatile_rising,stable_rising,stable_falling,exponential_rising,periodic_stable
Year,CrimsonLink,AetherNet,OracleFeed,EchoWave,Starburst Online,Luminara
1959,195448199.9,180179784.46,194635366.52,193291643.47,218994755.73,182262809.46
1960,196998259.02,240157893.53,215296498.95,203201955.27,193979789.11,248470877.77
1961,181120032.12,199073741.78,220531574.93,188058336.11,230262920.07,224888334.51
1962,185133753.49,213067640.46,225208899.43,162312612.31,276767258.17,172912709.96
1963,193306349.07,240370448.46,230068110.45,203017982.22,320672571.93,165859402.23
1964,175342022.93,304757531.19,254738508.95,172364869.5,341433125.37,192917566.86
1965,163880942.46,290562945.88,251339716.05,155858538.45,357654774.91,256771206.71
1966,168383242.73,332605561.04,275040432.12,185307065.18,374948306.96,248445230.13
1967,134773313.4,312200019.87,299753224.07,161287881.38,423870449.5,179437784.64
1968,144599347.75,339537819.39,275213118.33,146220867.08,469660395.94,137403539.31
1969,126715114.81,321127137.03,307616373.52,140590161.16,516252230.31,202995941.36
1970,138866960.6,338155320.36,311218489.08,139087556.7,584358933.59,239345452.43
1971,115957051.74,437343909.56,324336051.66,127482395.57,636870003.67,233564913.75
1972,124326138.95,411238624.42,316678368.95,122300132.81,691701202.37,174301183.37
1973,107417960.46,456056708.39,342626652.01,107579611.2,754635825.14,186876479.33
1974,99702046.13,435268406.67,349769409.23,110679692.12,835138109.79,206072422.66
1975,79296924.82,433765976.49,355109674.73,109592120.18,909584135.17,237436466.65
1976,100100531.62,489197489.3,365626919.88,113505110.44,1033450750.3,220523506.32
1977,77433500.72,510535273.94,385805597.81,97816469.22,1108148383.96,172918301.39
1978,75079156.78,466492355.64,383613492.77,91604102.83,1232935668.66,162630033.59
1979,87231608.07,515965016.65,386452025.88,63946803.13,1338234555.67,212061701.45
1980,52200507.78,539819971.23,400486513.27,69816978.43,1483663632.39,263458503.57
