Social Media and Digital Media and Streaming,Ad Revenue,$
trend,periodic_stable,volatile_falling,stable_rising
Year,OracleFeed,CrimsonLink,AetherNet
1978,538327400.28,526409475.54,517447141.08
1979,671081337.65,559061640.46,598732674.92
1980,571343027.99,421558734.52,550710478.47
1981,457161403.37,314618626.38,573522730.06
1982,399671090.81,467454083.24,580234800.5
1983,478317211.96,225637183.55,666665650.22
1984,599816988.88,394422644.37,626976515.29
1985,576061684.69,324820503.74,654019542.81
