Social Media and Digital Media and Streaming,Daily Active Users,users
trend,stable_rising,stable_falling,volatile_falling,volatile_rising
Year,CrimsonLink,EchoWave,Starburst Online,Luminara
2010,1003008666.07,1047560860.68,997652895.62,912950838.63
2011,1130819438.13,893570187.58,979308990.18,1164132380.18
2012,1129153285.32,919291691.73,656714584.04,870905589.99
2013,1157338307.82,933407390.45,828502335.33,1458765752.59
2014,1285320707.79,829957643.18,892738845.46,1347052863.39
2015,1179127806.17,842302904.17,735347718.33,1092982257.63
2016,1319990267.27,890561139.41,657472936.92,1442393662.61
2017,1270805702.83,844084899.46,600582697.79,1664075064.95
2018,1377959378.88,811831961.61,795963285.92,1704993801.59
2019,1411039633.56,686619796.44,724376005.06,1707309045.52
2020,1552698729.08,693848585.88,231698383.92,1899316857.82
2021,1521360509.42,639890094.57,284075422.78,1614763824.96
2022,1599700631.58,575075404.79,335420440.24,1780197293.48
2023,1672045127.53,696056757.92,255628538.71,2147628921.97
2024,1581630448.63,484237711.69,113017648.42,2025668639.56
