Tourism and Hospitality,Hotel Occupancy Rate,%
trend,exponential_falling,volatile_falling,volatile_rising
Year,Boutique Inns,Eco Lodges,Budget Motels
1993,72.8,70.45,71.9
1994,68.32,75.44,75.51
1995,59.43,73.17,80.97
1996,54.84,57.3,97.19
1997,53.73,49.48,100
1998,36.88,56.65,100
1999,41.33,47.15,100
2000,35.09,52.08,100
2001,31.57,49.7,100
2002,31.15,46.08,100
2003,24.08,32.66,100
2004,24.58,21.54,100
2005,18.77,23.46,100
2006,21.29,10.89,100
2007,19.0,15.03,100
2008,13.61,4.1,100
2009,15.07,0.75,100
2010,14.54,0.75,100
2011,11.61,0.75,100
2012,8.03,0.75,100
2013,8.28,0.75,100
2014,6.03,0.75,100
2015,9.0,0.75,100
2016,8.66,0.75,100
2017,1.68,0.75,100
2018,6.61,0.75,100
2019,4.37,0.75,100
2020,6.35,0.75,100
2021,0.75,0.75,100
2022,6.0,0.75,100
