Tourism and Hospitality,Restaurant Reservations,reservations/week
trend,periodic_stable,exponential_rising,periodic_stable,periodic_stable,stable_rising,stable_falling,volatile_rising
Year,Fusion Kitchens,Casual Eateries,Rooftop Bars,Fine Dining,Street Food Hubs,Family Restaurants,Vegan Cafes
1991,1067.66,987.77,1003.38,958.7,918.1,1102.19,1406.24
1992,1136.81,1102.91,1162.23,1279.51,1073.61,1052.11,1237.2
1993,1228.49,1121.07,1188.13,1148.9,1035.77,803.44,1199.22
1994,831.41,1467.16,1044.28,994.99,1108.03,859.63,1283.69
1995,727.99,1377.73,781.33,876.65,1166.91,810.45,1419.61
1996,956.96,1548.25,1036.0,1104.89,1361.96,791.47,1127.7
1997,1243.29,1976.03,1203.48,1298.45,1423.14,926.43,1602.93
1998,1147.75,2018.58,1056.32,1232.28,1342.65,656.86,1444.51
1999,768.82,2226.87,894.01,909.64,1334.15,749.16,1520.66
2000,886.51,2314.41,714.88,807.7,1309.41,791.19,1606.54
2001,1027.75,2693.97,922.74,1049.17,1341.31,756.35,1759.12
2002,1266.42,2934.24,1195.47,1313.88,1539.42,522.92,1926.24
2003,1100.27,3127.13,1122.17,1219.9,1582.93,787.41,2293.18
2004,846.89,3300.09,833.1,904.15,1653.41,761.22,1779.17
2005,734.98,3816.01,742.91,796.28,1763.53,557.68,1994.59
2006,1113.41,4225.75,1013.71,861.86,1790.61,605.04,2197.71
2007,1170.77,4501.19,1295.76,1267.85,1881.5,497.86,2056.99
