Tourism and Hospitality,Luggage Loss Rate,%
trend,volatile_falling,volatile_rising,stable_rising,stable_falling,volatile_falling,volatile_falling
Year,High-Speed Trains,International Terminals,Ferry Services,Car Rentals,Shared Ride,Regional Airports
1990,1.54,1.54,1.55,1.47,1.46,1.45
1991,1.28,1.65,1.48,1.47,1.55,1.49
1992,1.31,1.7,1.63,1.42,1.47,1.27
1993,1.11,1.92,1.74,1.3,1.3,1.28
1994,1.11,2.0,1.71,1.31,1.04,1.06
1995,1.1,2.07,1.8,1.31,1.03,1.16
1996,1.05,2.26,1.99,1.2,0.99,0.94
1997,0.92,2.24,2.08,1.25,0.85,0.92
1998,0.82,2.33,2.09,1.13,0.81,0.81
1999,0.78,2.59,2.23,1.1,0.58,0.76
2000,0.51,2.7,2.26,1.09,0.54,0.55
2001,0.61,2.7,2.35,1.05,0.35,0.5
2002,0.49,3.02,2.35,0.91,0.37,0.32
2003,0.34,3.03,2.54,0.94,0.33,0.39
2004,0.25,3.33,2.57,0.83,0.22,0.23
