Transportation and Logistics,Cargo Shipments,tons/month
trend,stable_rising,volatile_rising,volatile_falling,volatile_rising,exponential_falling,stable_falling,exponential_falling
Year,Rail Networks,Air Express,Cross-Border Trucks,Parcel Services,QuickShip Logistics,Continental Freight,Oceanic Carriers
1991,102398.37,92768.28,93205.26,92233.76,96422.13,97559.74,95174.4
1992,99396.36,113839.5,86693.49,106415.55,79605.4,97839.85,95763.77
1993,112809.86,117344.72,90396.81,107008.7,79423.98,97610.48,76942.97
1994,116014.71,113676.9,63842.36,115820.32,86685.59,92845.0,72033.4
1995,110478.54,118527.91,64315.32,117487.3,73759.39,89978.05,66307.63
1996,133153.93,142951.53,75131.84,167438.87,60377.63,97252.32,67181.28
1997,130695.48,133613.2,66100.84,144250.81,55246.69,88620.52,58909.52
1998,141234.89,140774.72,50744.94,160912.03,56113.01,77891.82,48321.7
1999,137231.12,179523.07,63641.91,160851.44,49478.28,76119.96,40650.99
2000,143488.78,169080.69,46133.86,172004.7,36160.88,62731.53,47603.62
2001,143170.54,168807.95,32153.64,191088.64,18925.08,72626.46,32396.03
2002,161262.99,193538.59,33607.51,189935.42,25704.34,70053.61,30794.97
2003,164101.24,204848.07,27378.68,209526.46,27888.04,64698.06,37655.35
2004,157946.63,187948.81,12161.49,188301.63,23789.41,64102.11,37321.76
2005,175049.06,212060.58,24801.89,217711.12,20327.08,67757.53,31843.08
2006,164909.94,217350.21,12920.81,202891.68,13497.55,51980.46,21564.14
2007,183502.43,235118.22,11558.89,220815.57,20792.72,45486.58,8867.54
2008,181417.0,239207.24,2271.66,264222.21,21243.94,53328.09,20678.78
2009,196337.8,236115.47,1000.0,244486.76,24370.09,49300.61,14760.02
2010,195620.76,251654.86,1000.0,240658.16,18332.36,39287.61,18033.12
2011,208017.95,257478.05,1000.0,238170.02,20296.89,29760.75,10738.36
